NO,KODE,NAMA,ALAMAT,NO TELP,JUMLAH
1,325001,CV. BANDUNG EXPRES,JL. SIMPANG PAHLAWAN III/15 BANDUNG - JAWA BARAT,"Telp. 431333 , 432333 Fax :-",21
2,325003,PO. GUNUNG SEMBUNG,JL. SIMPANG PAHLAWAN III/15 BANDUNG - JAWA BARAT,"Telp. 790365 , - Fax :-",36
3,325011,PT. PAKAR UTAMA T & T SERVICE,JL. SIMPANG PAHLAWAN III/15 BANDUNG - JAWA BARAT,"Telp. 4211942 , 4211940 Fax :-",65
4,325014,CV. HIDUP BARU PUTRA,JL. SOEKARNO HATTA NO. 281 BANDUNG - JAWA BARAT,"Telp. 5207881 , 5207882 Fax : -",2
5,325026,PO. D.S,JL. SIDANG RAYA NO.319 UJUNG BERUBG - BDG - JABAR,"Telp. 73557 , 75125 Fax : -",7
6,325030,PT. JAYA PRIMA UTAMA LESTARI,"JL. DR. SUTAMI KOMP. SETRASARI PERMAI 41, BANDUNG","Telp. 216649, 219983 Fax : -",56
7,325039,PT. SURYAPUTRA ADIPRADANA,JL. SOEKARNO - HATTA NO.269 BANDUNG - JAWA BARAT,"Telp. 5203905 , 5204650 Fax : -",42
8,325040,PT. JACKAL HOLIDAYS,"JL. GATOT SUBROTO NO.46-B, BANDUNG - JAWA BARAT","Telp. 319888, 319777 Fax : -",58
9,325043,CV. DEWI SHINTA,JL. RAYA TIMUR KM. 7 NO.5 BANDUNG - JAWA BARAT,"Telp. 7802267, 7834338 Fax : -",16
10,325044,PT. BONIWARINDO JAYASAKTI,JL. KIARACONDONG BELAKANG NO.320 BANDUNG - JAWA BARAT,"Telp. - , - Fax : -",8
11,325047,CV. AMAN ABADI PUTRA,"JL. SUKAMENAK NO. 119 MARGAHAYU, BANDUNG - JAWA BARAT","Telp. 5410231 , 5400853 Fax : -",4
12,325048,PO. SANGKURIANG,JL. SOEKARNO HATTA BY PASS NO. 116 BANDUNG - JAWA BARAT,"Telp. 5207586 , - Fax : -",7
13,325053,PO. SINAR PASUNDAN,JL. MOHAMAD TOHA NO. 155 - 157 BANDUNG,"Telp. 5205794 , 5209502 Fax : -",15
