NO.,RUAS JALAN,TITIK LOKASI,KETERANGAN
1,JL. MOH. TOHA,SBLM. SDN MOH. TOHA,HALTE ANGKUTAN UMUM PERKOTAAN
2,JL. DEWI SARTIKA,DEPAN KANTOR CABANG BCA,HALTE ANGKUTAN UMUM PERKOTAAN
3,JL. CIPAGANTI,DPN. MESJID CIPAGANTI,HALTE ANGKUTAN UMUM PERKOTAAN
4,JL. JAKARTA,DKT PEREMPATAN KIRCON,HALTE ANGKUTAN UMUM PERKOTAAN
5,Ir. H. DJUANDA,+ 100 Mtr SETELAH SIMPANG DAGO (ARAH KE BAWAH),HALTE ANGKUTAN UMUM PERKOTAAN
6,Ir. H. DJUANDA,DEPAN SMAN 1,HALTE ANGKUTAN UMUM PERKOTAAN
7,Ir. H. DJUANDA,DEPAN SUPERINDO (EX. GELAEL),HALTE ANGKUTAN UMUM PERKOTAAN
8,Ir. H. DJUANDA,DPN. RM. SIMPANG RAYA,HALTE ANGKUTAN UMUM PERKOTAAN
9,PADJAJARAN,DEPAN PANTI SOSIAL WYATA GUNA,HALTE ANGKUTAN UMUM PERKOTAAN
10,PADJAJARAN,DEPAN SDN PADJAJARAN,HALTE ANGKUTAN UMUM PERKOTAAN
11,PADJAJARAN,DEPAN SEKOLAH YAYASAN BPPK,HALTE ANGKUTAN UMUM PERKOTAAN
12,PADJAJARAN,DEPAN SMKN 12,HALTE ANGKUTAN UMUM PERKOTAAN
13,DJUNJUNAN,DEPAN CIPAGANTI TRAVEL (GIANT),HALTE ANGKUTAN UMUM PERKOTAAN
14,DJUNJUNAN,PERSIMPANGAN PASKAL + 80 Mtr KE ARAH BARAT TOL,HALTE ANGKUTAN UMUM PERKOTAAN
15,CIPAGANTI,DEPAN RUMAH NO.115 A SIMPANG JL. BP. HUSEN (RS. ADVENT),HALTE ANGKUTAN UMUM PERKOTAAN
16,CIPAGANTI,DEPAN KANTOR POS (SPBU),HALTE ANGKUTAN UMUM PERKOTAAN
17,JL. PETA,DEPAN KOMP. MUARA,HALTE ANGKUTAN UMUM PERKOTAAN
18,JL. MOH. TOHA,DEPAN PT. INTI,HALTE ANGKUTAN UMUM PERKOTAAN
19,JL. BKR No.181,DEPAN POLIKLINIK PUSAT LOGISTIK POLDA,HALTE ANGKUTAN UMUM PERKOTAAN
20,JL. BKR No. 200,DEPAN APOTEK TEGALEGA,HALTE ANGKUTAN UMUM PERKOTAAN
21,JL. BKR,DEPAN MESJID AN NUR PT. INTI,HALTE ANGKUTAN UMUM PERKOTAAN
22,JL. BUAH BATU No.212,DEPAN KAMPUS STISI,HALTE ANGKUTAN UMUM PERKOTAAN
23,JL. IBRAHIM ADJIE,SEBERANG GRIYA YOGYA,HALTE ANGKUTAN UMUM PERKOTAAN
24,JL. IBRAHIM ADJIE,DKT JL. SEKEJATI,HALTE ANGKUTAN UMUM PERKOTAAN
25,JL. JAKARTA,DEPAN KAMPUS AMIK,HALTE ANGKUTAN UMUM PERKOTAAN
26,JL. SUPRATMAN,SAMPING SD SANTA URSULA (SPBU),HALTE ANGKUTAN UMUM PERKOTAAN
27,"JL. SUPRATMAN No,24",DEPAN SMPN 22,HALTE ANGKUTAN UMUM PERKOTAAN
28,JL. DIPONEGORO No.61,DEPAN KANTOR RRI,HALTE ANGKUTAN UMUM PERKOTAAN
29,JL. PAHLAWAN,DKT TAMAN MAKAM PAHLAWAN,HALTE ANGKUTAN UMUM PERKOTAAN
30,JL. PHH. MUSTOFA 68,DEPAN UNIV. SANGGABUANA ,HALTE ANGKUTAN UMUM PERKOTAAN
31,JL. AH. NASUTION 117,DPN PUSLITBANG PU ,HALTE ANGKUTAN UMUM PERKOTAAN
32,JL. AH. NASUTION 102A,SEBERANG SMAN 24,HALTE ANGKUTAN UMUM PERKOTAAN
33,JL. AH. NASUTION,DEPAN SDN ANDIR KIDUL,HALTE ANGKUTAN UMUM PERKOTAAN
34,JL. ASIA AFRIKA NO.114,DEPAN GEDUNG KEUANGAN NEGARA,HALTE ANGKUTAN UMUM PERKOTAAN
35,JL. ASIA AFRIKA,DEPAN ALUN-ALUN UTARA,HALTE ANGKUTAN UMUM PERKOTAAN
36,JL. CIBADUYUT RAYA,DPN. TVRI BANDUNG,HALTE ANGKUTAN UMUM PERKOTAAN
37,JL. MOH. TOHA NO.70,SBLM PINTU MASUK TAMAN TEGALEGA,HALTE ANGKUTAN UMUM PERKOTAAN
38,JL. BKR NO.2,DEPAN ALFAMART PERTIGAAN JL. SAMSUDIN,HALTE ANGKUTAN UMUM PERKOTAAN
39,JL. BANDA NO.15,SAMPING WISMA NOVA,HALTE ANGKUTAN UMUM PERKOTAAN
40,JL. RE. MARTADINATA,DEPAN GEDUNG XL (PEREMPATAN JL. PURNAWARMAN),HALTE ANGKUTAN UMUM PERKOTAAN
41,JL. WASTUKENCANA NO.3,DEPAN SMKN 1,HALTE ANGKUTAN UMUM PERKOTAAN
42,JL. ELANG,SAMPING SUPERINDO,HALTE ANGKUTAN UMUM PERKOTAAN
43,JL. ABDURAHMAN SALEH,DEPAN RUMAH NO.42,HALTE ANGKUTAN UMUM PERKOTAAN
44,JL. PASIRKALIKI,SAMPING RS HASAN SADIKIN,HALTE ANGKUTAN UMUM PERKOTAAN
45,JL. SETIABUDI,TAMAN SECAPA HEGARMANAH,HALTE ANGKUTAN UMUM PERKOTAAN
46,JL. CIHAMPELAS NO.280,DEPAN SDN CIHAMPELAS 1 & 3,HALTE ANGKUTAN UMUM PERKOTAAN
47,JL. SOEKARNO HATTA,DEPAN CAREFOUR KIRCON,HALTE ANGKUTAN UMUM PERKOTAAN
48,JL. SOEKARNO HATTA,DEPAN TERMINAL LEUWIPANJANG,HALTE ANGKUTAN UMUM PERKOTAAN
49,JL. PETA,SAMPING FESTIVAL CITILINK,HALTE ANGKUTAN UMUM PERKOTAAN
50,JL. BKR,SAMPING TAMAN TEGALEGA,HALTE ANGKUTAN UMUM PERKOTAAN
51,JL. BRAGA ,SAMPING BI,HALTE ANGKUTAN UMUM PERKOTAAN
52,JL. AHMAD YANI,SAMPING DISDIK KOTA BDG,HALTE ANGKUTAN UMUM PERKOTAAN
53,JL. AHMAD YANI,DEPAN SEGITIGA EMAS,HALTE ANGKUTAN UMUM PERKOTAAN
54,JL. SUNDA,SEBERANG YOGYA DEPT. STORE,HALTE ANGKUTAN UMUM PERKOTAAN
55,JL. RE. MARTADINATA,DEPAN GRAHA ATMA (RSJ),HALTE ANGKUTAN UMUM PERKOTAAN
56,JL. RE. MARTADINATA,DEPAN ORIFLAME,HALTE ANGKUTAN UMUM PERKOTAAN
57,JL. WR. SUPRATMAN,DEPAN APOTEK FORTUNA,HALTE ANGKUTAN UMUM PERKOTAAN
58,JL. KATAMSO,DEPAN LAP. TENIS TELKOM,HALTE ANGKUTAN UMUM PERKOTAAN
59,JL. PAHLAWAN,DEKAT TMP,HALTE ANGKUTAN UMUM PERKOTAAN
60,JL. PHH. MUSTOPHA,DEPAN ITENAS-UNBAR,HALTE ANGKUTAN UMUM PERKOTAAN
61,JL. JAKARTA,DEPAN GOR,HALTE ANGKUTAN UMUM PERKOTAAN
62,Jl. A.H. NASUTION,DEPAN SDN CIPADUNG,HALTE ANGKUTAN UMUM PERKOTAAN
