NO,KODE,LINTASAN TRAYEK,JARAK,JUMLAH KENDARAAN
1,1.A,Abdul Muis – Cicaheum Via Binong ,16.3,355
2,1.B,Abdul Muis – Cicaheum Via Aceh ,11.55,100
3,2,Abdul Muis – Dago ,9.3,271
4,3,Abdul Muis – Ledeng ,16,245
5,4,Abdul Muis – Elang ,9.75,101
6,5,Cicaheum – Ledeng ,14.25,214
7,6,Cicaheum – Ciroyom,17,206
8,7,Cicaheum – Ciwastra – Derwati ,17,200
9,8,Cicaheum – Cibaduyut ,16.1,150
10,9,Stasiun Hall – Dago ,10,52
11,10,Stasiun Hall – Sadang Serang ,11,150
12,11.A,Stasiun Hall – Ciumbuleuit Via Eykman ,9.8,53
13,11.B,Stasiun Hall – Ciumbuleuit Via Cihampelas ,8.3,30
14,12,Stasiun Hall – Gede Bage ,21,200
15,13,Stasiun Hall – Sarijadi ,10.2,80
16,14,Stasiun Hall – Gunung Batu ,8.5,53
17,15,Margahayu Raya – Ledeng ,19.8,125
18,16,Dago – Riung Bandung ,20.6,201
19,17,Pasar Induk Caringin – Dago ,19.85,140
20,18,Panghegar Permai – Dipati Ukur – Dago ,19.35,155
21,19.A,Ciroyom – Sarijadi Via Sukajadi,11.75,88
22,19.B,Ciroyom – Sarijadi Via Setrasari,10.75,31
23,20,Ciroyom – Bumi Asri ,8.35,115
24,21,Ciroyom – Cikudapateuh ,12.9,140
25,22,Sederhana – Cipagalo ,16.05,276
26,23,Sederhana – Cijerah ,8.9,63
27,24,Sederhana – Cimindi ,9,55
28,25,Ciwastra – Ujung Berung ,13.4,32
29,26,Cisitu – Tegallega ,13.95,82
30,27,Cijerah – Ciwastra – Derwati,22.3,200
31,28,Elang – Gede Bage – Ujung Berung,22.45,115
32,29,Abdul Muis – Mengger,10.55,25
33,30,Cicadas – Elang,18.05,300
34,31,Antapani – Ciroyom ,13.7,160
35,32,Cicadas – Cibiru – Panyileukan ,13.65,200
36,33,Bumi Panyileukan – Sekemirung ,24.35,125
37,34,Sadang Serang – Caringin ,18.1,200
38,35,Cibaduyut – Karang Setra ,16.6,201
39,36,Cibogo – Elang ,7,32
,,,,
