NO,KORIDOR,TRAYEK,RUTE,JUMLAH UNIT,
1,LEN I                                      ,(CICAHEUM – CIBEUREUM  PP),Keluar : Term.Cicaheum-Jl. Jend. A.Yani –Jl. Ibrahim Adjie – Jl. Jakarta - Jl.Asia  Afrika-Jl. Jend. Sudirman-Jl. Elang.,36,
,,,Masuk : Jl. Elang-Jl. Rajawali barat – Jl. Rajawali Timur - Jl.    Kebonjati  -Jl.Otista- Jl.Stasiun Timur –Viaduct – Jl. Perintis kemerdekaan – Jl. Braga -– Jl.Lembong -Jl.Veteran-Jl.Jend.A.Yani-Term.Cicaheum,,
2,LEN III                                        , LEUWI PANJANG – LEDENG PP.,Keluar : Term. Leuwi Panjang - Jl.Kopo – jl. Pasir koja – Jl. Astana anyar - Jl.Gardujati— jl hos cokroaminoto (Jl.Pasirkaliki)- Jl.Sukajadi-Jl.Setiabudhi-Term. Ledeng.,11,
,,,Masuk : Term.Ledeng - Jl.Setabudhi-Jl. Suka wangi - Jl.Sukajadi - jl hos cokroaminoto (Jl.Pasirkaliki)- - Jl.Kebonjati-Jl.Otista -Jl.peta - Jl.LeuwiPanjang-Term.Leuwi Panjang,,
3,LEN V                                       , LEUWI PANJANG – DIPATIUKUR PP,"Keluar : Terminal Leuwi Panjang  –     Jl.Kopo – Jl.Pasirkoja – Jl. Astanaanyar – Jl.Gardujati – Jl.Kebon Jati- Jl,Otista – Jl.Stasiun Timur – Jl.Viaduct-Jl.Perintis Kemerdekaan - Jl.Wastu kancana - Jl.R.E Martadinata - Jl.Ir.H.Juanda - Jl.Dipati Ukur",24,
,,,Masuk: Jl.Dipati Ukur - Jl.Ir.H.Juanda-Jl. Merdeka-Jl. Perintis Kemerdekaan – Jl. Braga - Jl. Suniaraja- Jl. Otista- Jl. Peta - Jl. Leuwi Panjang - Terminal Leuwi Panjang,,
4,LEN VI                                     , LEUWI PANJANG – CICAHEUM PP.,Keluar : Pangkalan Cibereum - Jl. Jend. A Yani -Jl. Asia Afrika-Jl. Otista-Jl.Peta - Jl. Leuwi Panjang-Terminal Leuwi Panjang.,18,
,,,Masuk : Terminal Leuwi Panjang-Jl. Kopo-Jl. Pasir Koja - Jl.Pungkur - Jl. Dewi Sartika – Jl. Dalem kaum – Jl. Alun – alun timur – Jl. Asia Afrika - Jl. Banceuy-Jl. Cikapundung-Jl. Naripan-Jl. Sunda-Jl. veteran-Jl.Jend A Yani-Pangkalan  Cibeureum,,
5,LEN VII                        ,LEUWIPANJANG - CIBIRU,Keluar  :  Terminal Leuwipanjang – Jl Kopo – Jl. Pasir Koja – Jl Pungkur – Jl. Dewi Sartika – Jl.Dalem Kaum – Jl. Alun – Alun Timur – Jl Asia Afrika – Jl. Banceuy – Jl. Cikapundung – Jl. Naripan – Jl. Sunda – Jl. Veteran – Jl. Jend A. Yani – Jl. Raya Sindanglaya – Jl. Raya Ujung Berung – Cibiru,37,
,,,Masuk : Cibiru – Jl. Raya Ujung Berung – Jl.Raya Sindanglaya – Jl. Jend A.Yani – Jl. Asia Afrika – Jl. Otto Iskandardinata – Jl. Peta – Jl.Leuwipanjang – Terminal Leuwipanjang ,,
